name,desc,tags,price,cicle,spec,new_spec,pay_type
SenseStudio ID产品-移动端-人脸对比1:1（ios） sxd,"""SenseStudio ID提供人脸比对、人像搜索、活体检测、高级工具包文字识别等算法能力，为各行业的客户提供线下、线上的身份核验一体化解决方案，已广泛落地于金融、电信、医疗、交通等行业。（本功能为移动端部署模式、支持Android、IOS、win）
不含人像静态库数据，静态库数据来源于用户方或业主方""
",,20000000.00,,,,1
企业动产抵押信息查询,"金融风控：用于金融机构在信贷审批环节的企业资质审核。
企业风险管理：用于企业在选择合作伙伴时的企业资质审核。",,40.00,,,,7
观安观智全链路数据流转监测与分析系统,"观安全链路数据流转监测与分析系统（以下简称“EFM”），基于旁路全链路流量模式下，自动识别出应用、数据库等业务资产产生的敏感流量，并对资产主体产生的敏感流量进行业务审计、风险监测、溯源分析等，从而建立一站式数据安全监测体系，帮助用户完成“事前事中事后”三个阶段的日常数据安全运营工作，达到数据安全治理目的。
EFM系统作为单系统而言，可以作为全链路全流量的审计类型系统，对网络传输流量的抓取、解析、识别，将流量中敏感数据进行提取，同时根据敏感数据识别规则或敏感场景识别策略，对传输过程中包含的敏感内容或敏感文件进行区分和梳理。对流量中存在的风险行为，进行预防性检测和定位。进而在发生泄漏等安全事故时，进行数据线索溯源。",,-1.00,,,,1
交通出行态势分析,交通出行态势分析是一类专网WebAPI接口服务，开发者可利用该服务查询城市交通管理部门某辖区指定下辖层级的所有子辖区的实时拥堵情况和历史统计、指定道路或道路组实时拥堵情况和历史统计、城市路网异常拥堵报警信息。交通管理部门及其专网应用开发和集成商，可在专网（公安网、视频专网等）平台集成互联网交通路况大数据，第一时间获取实时、精准的路网动态，提升交通管理“勤、指、勤、督”一体化水平。,,-1.00,,,,2
道路数字化资产管理,"依托百度高精地图技术和全栈自主AI能力
实现资产管理精细化-道路巡检自动化-维修养护高效化，为交通参与者营造美好出行环境",,-1.00,,,,0
数造万象-数据工厂平台（简称：DTB-DataFactory）,DataFactory（ 数据开发工厂 ）集成数据同步、数据开发、任务提测、任务发布、运维调度的一站式数据开发平台，提供在线协作的批数据处理和流数据处理的开发，通过智能IDE和可视化编排能力，简化传统复杂的数据开发流水线，支持多环境的开发协作，提高数据开发效率和管理规范。,,-1.00,,,,0
数据编织技术平台,"中国电信研究院大数据与人工智能研究所自主研发的数据编织技术平台，支持多源分布式数据的协同治理，通过对资源的统一编排，打破节点之间的异构环境，实现多云、跨域数据的快速集成。研发团队基于自研的超立方体坐标系的元数据知识图谱算法，实现自动化的知识图谱智能补全能力，实现多维数据与业务之间的逻辑关联，为用户提供智能化数据推荐服务。用户可通过统一的SQL接口访问，对异构数据进行联合查询和自助式分析。
",,-1.00,,,,0
SuperMap iDesktopX,"SuperMap iDesktopX 是业界首款跨平台全功能桌面GIS软件，突破了专业桌面GIS软件只能运行于Windows环境的困境，可在 Linux 环境中完美运行。SuperMap iDesktopX 提供了适用于不同平台的版本，分为 Windows 和 Linux 两个版本。
SuperMap iDesktopX 是基于 SuperMap iObjects Java，通过 Java 语言开发的插件式、跨平台GIS应用软件，提供了数据管理、数据处理、空间分析、地图制图出图、处理自动化、三维等功能，并且结合Spark、AI等新技术，提供了分布式数据管理与分析、流数据管理、视频地图与分析、地图大屏、机器学习、Python等新功能，以及国产化替代方案相关的数据迁移功能，同时提供了灵活的开发框架和辅助控件，便于用户二次开发。",,-1.00,,,,0
测温喷雾消毒门,对公共区域出入的人员进行体表温度检测和消毒,,-1.00,,,,0
热成像测温机器人,AI智能热成像远距离非接触式自动体温检测,,-1.00,,,,0
测温一体机,便携式移动测温一体机，自带内置黑体,,-1.00,,,,0
热成像测温一体机,远距离高精度热成像仪,,-1.00,,,,0
雾化测温消毒门,内置大容量消毒液箱，全方位消杀，消毒无死角。,,-1.00,,,,0
雾化消毒机器人,自动巡航、超长续航、自动消杀机器人,,-1.00,,,,0
中银好客贷调用公积金信息接口服务,中银好客贷公积金接口是用于对客户信用进行评估从而辅助消费贷款的发放和贷后管理。帮助客户解决当下金融信贷领域业务过程中外部数据缺乏的痛点，实现“一点接入、覆盖全省”，推动个人消费贷款业务提质增效。 ,,-1.00,,,,1
诚信信息,可以通过公司名称或ID获取相关私募基金诚信信息，包括机构信息最后更新时间、特别提示信息。,,10.00,,,,0
投资动态,可以通过投资机构名称获取投资机构投资动态信息，包括投资产品名称、所属公司、参与轮次、投资时间、投资金额、相关新闻标题等字段的详细信息,,15.00,,,,0
商贸行业消费分析报告,通过海量用户的消费数据分析，统计各行业消费人群的数据如：年龄、籍贯、人群流向等。结合客户定制化需求（以客户所关注的内容为主，如：消费人群来自什么省份、年龄段、名下有无车等），多维度评估行业现状，以分析报告的形式输出商贸行业消费分析报告。,,65000000.00,,,,0
多头借贷黑名单,辅助金融机构把控借贷类业务风险，通过识别身份证、手机号、卡号（至少上送其二，支持上送多个），结合政务数据以及银行侧数据。首先识别个人信息是否存在错误。其次识别是否存在其他银行重复抵押的情况。通过历史借贷行为等多维度判断是否为黑名单客户。,,-1.00,,,,0
客户现金流分析报告,对于融资客户提供的银行流水材料进行分析，通过流水验证和流水分析对客户的经营情况进行研判,,-1.00,,,,0
企业天眼风险,可以通过关键字（公司名称、公司id、注册号或社会统一信用代码）获取企业相关天眼风险列表，包括企业自身/周边/预警风险信息,,20.00,,,,0
人脸活体人像比对产品,"输入身份证、姓名,调用摄像头,反馈结果一致/不一致",,4000000.00,,,,0
银行卡发卡行查询 银行卡发卡属地验证,"银行卡号：发卡行名称
银行卡号、地区代码：一致/不一致",,150.00,,,,1
重点车辆一键护航,百度一键护航定位于为特种车辆应急出行提供一路绿灯的护航方案，实现从特种车辆闯红灯到不闯灯也能实现最快到达且效率更高的一次变革。方案依托最优路径规划+C端语音播报+信号自动放行的整体闭环能力，为特种车辆提供最佳线路导航和路口信号自动绿灯通行服务，为社会车辆提供导航语音避让提醒服务，交警客户可在指挥中心大屏实时查看特种车辆导航定位及实时导航线路，无需手动控制路口信号，便可轻松应对。,,-1.00,,,,0
